typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20200101","2020","52","2020","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H5","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"744430.915","744430.915","0","false","true",
"C","A","20200101","2020","52","2020","96","BRN","Brunei Darussalam","X","Export","0","W00","World","0","W00","World","H5","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","4999359.96","4999359.96","4","false","true",
"C","A","20200101","2020","52","2020","100","BGR","Bulgaria","X","Export","0","W00","World","0","W00","World","H5","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","1184395579.783","1184395579.783","4","false","true",
"C","A","20200101","2020","52","2020","104","MMR","Myanmar","X","Export","0","W00","World","0","W00","World","H5","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"15839896.04","15839896.04","0","false","true",
"C","A","20200101","2020","52","2020","108","BDI","Burundi","X","Export","0","W00","World","0","W00","World","H5","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1052195.645","1052195.645","0","false","true",
"C","A","20200101","2020","52","2020","112","BLR","Belarus","X","Export","0","W00","World","0","W00","World","H5","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","2152202800","2152202800","4","false","true",
"C","A","20200101","2020","52","2020","116","KHM","Cambodia","X","Export","0","W00","World","0","W00","World","H5","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","559402639.66","559402639.66","4","false","true",
"C","A","20200101","2020","52","2020","120","CMR","Cameroon","X","Export","0","W00","World","0","W00","World","H5","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"4279472.57","4279472.57","0","false","true",
"C","A","20200101","2020","52","2020","8","ALB","Albania","X","Export","0","W00","World","0","W00","World","H5","HS","true","88","Aircraft, spacecraft and parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","1163835.663","1163835.663","0","false","true",
"C","A","20200101","2020","52","2020","20","AND","Andorra","X","Export","0","W00","World","0","W00","World","H5","HS","true","88","Aircraft, spacecraft and parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"46008.9","46008.9","0","false","true",
"C","A","20200101","2020","52","2020","24","AGO","Angola","X","Export","0","W00","World","0","W00","World","H5","HS","true","88","Aircraft, spacecraft and parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"8778910.725","8778910.725","0","false","true",
"C","A","20200101","2020","52","2020","28","ATG","Antigua and Barbuda","X","Export","0","W00","World","0","W00","World","H3","HS","true","88","Aircraft, spacecraft and parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"197226.831","197226.831","0","false","true",
"C","A","20200101","2020","52","2020","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H5","HS","true","88","Aircraft, spacecraft and parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","52598636.03","52598636.03","0","false","true",
"C","A","20200101","2020","52","2020","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H5","HS","true","88","Aircraft, spacecraft and parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"1342883589.735","1342883589.735","4","false","true",
"C","A","20200101","2020","52","2020","40","AUT","Austria","X","Export","0","W00","World","0","W00","World","H5","HS","true","88","Aircraft, spacecraft and parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","1018101036.751","1018101036.751","4","false","true",
"C","A","20200101","2020","52","2020","44","BHS","Bahamas","X","Export","0","W00","World","0","W00","World","H5","HS","true","88","Aircraft, spacecraft and parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"467461","467461","4","false","true",
"C","A","20200101","2020","52","2020","48","BHR","Bahrain","X","Export","0","W00","World","0","W00","World","H5","HS","true","88","Aircraft, spacecraft and parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"100522641.55","100522641.55","0","false","true",
"C","A","20200101","2020","52","2020","51","ARM","Armenia","X","Export","0","W00","World","0","W00","World","H5","HS","true","88","Aircraft, spacecraft and parts thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","2110","2110","0","false","true",
